URL,Title,ISSN,Homepage,How to publish,Publisher,Subject Area and Category
https://www.scimagojr.com/journalsearch.php?q=21101101247&tip=sid&clean=0,Engineering Reports,25778196,https://onlinelibrary.wiley.com/journal/25778196,https://onlinelibrary.wiley.com/page/journal/25778196/homepage/author_guidelines,John Wiley and Sons Inc.,"Computer Science, Computer Science (miscellaneous)"
https://www.scimagojr.com/journalsearch.php?q=11800154542&tip=sid&clean=0,"International Journal of Computers, Communications and Control","18419836, 18419844",http://univagora.ro/jour/index.php/ijccc/,http://univagora.ro/jour/index.php/ijccc/about/submissions,"CCC Publications, R & D Agora","Computer Science, Computational Theory and Mathematics, Computer Networks and Communications, Computer Science Applications"
https://www.scimagojr.com/journalsearch.php?q=21100332424&tip=sid&clean=0,Journal of Spatial Information Science,1948660X,https://josis.org/index.php/josis/index,https://josis.org/index.php/josis/about/submissions#onlineSubmissions,The National Center for Geographic Information and Analysis (NCGIA),"Computer Science, Information Systems"
https://www.scimagojr.com/journalsearch.php?q=21100394100&tip=sid&clean=0,IET Networks,"20474954, 20474962",https://digital-library.theiet.org/content/journals/iet-net,https://digital-library.theiet.org/journals/author-guide#submission,John Wiley & Sons Inc.,"Computer Science, Computer Networks and Communications"
https://www.scimagojr.com/journalsearch.php?q=21101076317&tip=sid&clean=0,Intelligence-Based Medicine,26665212,https://www.sciencedirect.com/journal/intelligence-based-medicine,https://www.editorialmanager.com/ibmed/default2.aspx,Elsevier B.V.,"Computer Science, Artificial Intelligence, Computer Science Applications"
https://www.scimagojr.com/journalsearch.php?q=13715&tip=sid&clean=0,Entropy,10994300,https://www.mdpi.com/journal/entropy,https://www.mdpi.com/journal/entropy/instructions,Multidisciplinary Digital Publishing Institute (MDPI),"Computer Science, Information Systems"
https://www.scimagojr.com/journalsearch.php?q=21101152880&tip=sid&clean=0,Frontiers in Communications and Networks,2673530X,Homepage link not found,How to publish link not found,Frontiers Media SA,"Computer Science, Computer Networks and Communications, Signal Processing"
https://www.scimagojr.com/journalsearch.php?q=21100945706&tip=sid&clean=0,Multimodal Technologies and Interaction,24144088,https://www.mdpi.com/journal/mti,https://www.mdpi.com/journal/mti/instructions#submission,Multidisciplinary Digital Publishing Institute (MDPI),"Computer Science, Computer Networks and Communications, Computer Science Applications, Human-Computer Interaction"
https://www.scimagojr.com/journalsearch.php?q=21100897500&tip=sid&clean=0,Education Sciences,22277102,https://www.mdpi.com/journal/education,https://www.mdpi.com/journal/education/instructions#submission,Multidisciplinary Digital Publishing Institute (MDPI),"Computer Science, Computer Science Applications, Computer Science (miscellaneous)"
https://www.scimagojr.com/journalsearch.php?q=19700175167&tip=sid&clean=0,Frontiers in Neuroinformatics,16625196,https://www.frontiersin.org/journals/neuroinformatics,https://www.frontiersin.org/journals/neuroinformatics#sections,Frontiers Media SA,"Computer Science, Computer Science Applications"
https://www.scimagojr.com/journalsearch.php?q=21101129622&tip=sid&clean=0,JMIR Infodemiology,25641891,https://infodemiology.jmir.org/,https://infodemiology.jmir.org/author-information/instructions-for-authors,JMIR Publications Inc.,"Computer Science, Computer Science Applications"
https://www.scimagojr.com/journalsearch.php?q=21101128318&tip=sid&clean=0,Telecom,26734001,https://www.mdpi.com/journal/telecom,https://www.mdpi.com/journal/telecom/instructions,Multidisciplinary Digital Publishing Institute (MDPI),"Computer Science, Computer Networks and Communications"
https://www.scimagojr.com/journalsearch.php?q=21101092533&tip=sid&clean=0,High-Confidence Computing,26672952,https://www.sciencedirect.com/journal/high-confidence-computing,https://www2.cloud.editorialmanager.com/hccom/default2.aspx,,"Computer Science, Computational Theory and Mathematics, Computer Networks and Communications, Computer Science Applications, Hardware and Architecture, Software"
https://www.scimagojr.com/journalsearch.php?q=6400153154&tip=sid&clean=0,Journal of Control Science and Engineering,"16875249, 16875257",http://www.hindawi.com/journals/jcse/,https://www.hindawi.com/journals/jcse/guidelines/,Hindawi Publishing Corporation,"Computer Science, Computer Science Applications"
https://www.scimagojr.com/journalsearch.php?q=21100901173&tip=sid&clean=0,Applied Network Science,23648228,https://appliednetsci.springeropen.com/,https://www.editorialmanager.com/apns/default.aspx,Springer Nature,"Computer Science, Computer Networks and Communications"
https://www.scimagojr.com/journalsearch.php?q=21100916532&tip=sid&clean=0,International Journal of Telerehabilitation,19452020,https://telerehab.pitt.edu/ojs/index.php/telerehab,https://telerehab.pitt.edu/ojs/Telerehab/about/submissions,"University Library System, University of Pittsburgh University of Pittsburgh in Scimago Institutions Rankings","Computer Science, Computer Science Applications"
https://www.scimagojr.com/journalsearch.php?q=21101080486&tip=sid&clean=0,Array,25900056,https://www.sciencedirect.com/journal/array,https://www2.cloud.editorialmanager.com/array/default2.aspx,Elsevier B.V.,"Computer Science, Computer Science (miscellaneous)"
https://www.scimagojr.com/journalsearch.php?q=21101017705&tip=sid&clean=0,Frontiers in Mechanical Engineering,22973079,https://www.frontiersin.org/journals/mechanical-engineering,https://www.frontiersin.org/journals/mechanical-engineering/about#about-submission,Frontiers Media SA,"Computer Science, Computer Science Applications"
https://www.scimagojr.com/journalsearch.php?q=21100924372&tip=sid&clean=0,Data,23065729,https://www.mdpi.com/journal/data,https://www.mdpi.com/journal/data/instructions#submission,Multidisciplinary Digital Publishing Institute (MDPI),"Computer Science, Computer Science Applications, Information Systems"
https://www.scimagojr.com/journalsearch.php?q=21101062832&tip=sid&clean=0,Frontiers in Computer Science,26249898,https://www.frontiersin.org/journals/computer-science,https://www.frontiersin.org/journals/computer-science/for-authors/author-guidelines,Frontiers Media SA,"Computer Science, Computer Science Applications, Computer Science (miscellaneous), Computer Vision and Pattern Recognition, Human-Computer Interaction"
https://www.scimagojr.com/journalsearch.php?q=21100210905&tip=sid&clean=0,i-Perception,20416695,https://journals.sagepub.com/home/ipe,https://mc.manuscriptcentral.com/i-perception,SAGE Publications Ltd,"Computer Science, Artificial Intelligence"
https://www.scimagojr.com/journalsearch.php?q=5300152202&tip=sid&clean=0,IET Communications,"17518628, 17518636",https://digital-library.theiet.org/content/journals/iet-com,https://digital-library.theiet.org/journals/author-guide#submission,John Wiley & Sons Inc.,"Computer Science, Computer Science Applications"
https://www.scimagojr.com/journalsearch.php?q=21101124068&tip=sid&clean=0,Iraqi Journal for Computer Science and Mathematics,"27887421, 29580544",https://journal.esj.edu.iq/index.php/IJCM,https://journal.esj.edu.iq/index.php/IJCM/about/submissions,"College of Education, Al-Iraqia University","Computer Science, Artificial Intelligence, Computational Theory and Mathematics, Computer Graphics and Computer-Aided Design, Computer Networks and Communications"
https://www.scimagojr.com/journalsearch.php?q=21100432792&tip=sid&clean=0,Journal of Electronic Science and Technology,"1674862X, 2666223X",http://www.keaipublishing.com/en/journals/journal-of-electronic-science-and-technology/,https://www.editorialmanager.com/jnlest/Default.aspx,KeAi Communications Co.,"Computer Science, Computer Networks and Communications, Signal Processing"
https://www.scimagojr.com/journalsearch.php?q=21101058018&tip=sid&clean=0,Journal of Physics: Complexity,2632072X,https://iopscience.iop.org/journal/2632-072X,https://publishingsupport.iopscience.iop.org/journals/journal-of-physics-complexity/,IOP Publishing Ltd.,"Computer Science, Artificial Intelligence, Computer Networks and Communications, Computer Science Applications, Information Systems"
